Date,Description,Category,Amount,Transaction Type
2025-06-20,Concert Ticket,Entertainment,3273.0,Expense
2025-05-30,Uber Ride,Transportation,459.0,Expense
2024-09-03,Starbucks Coffee,Food,414.38,Expense
2025-03-15,Nike Shoes,Shopping,6344.0,Expense
2024-11-11,Amazon Purchase,Shopping,3327.0,Expense
2025-07-22,McDonald's Meal,Food,291.42,Expense
2024-10-29,UberEats Delivery,Food,1225.49,Expense
2025-10-09,Gas Station,Transportation,2431.0,Expense
2025-11-16,Starbucks Coffee,Food,259.29,Expense
2025-03-16,Fine Dining,Food,2354.54,Expense
2025-12-07,Starbucks Coffee,Food,355.56,Expense
2025-11-09,Mobile Phone Bill,Utilities,464.0,Expense
2025-08-24,Car Service,Transportation,7598.0,Expense
2025-07-12,McDonald's Meal,Food,393.2,Expense
2025-01-23,Zara Clothing,Shopping,5583.0,Expense
2025-01-13,Metro Card Topup,Transportation,414.0,Expense
2025-04-14,Spotify Premium,Entertainment,119.0,Expense
2025-05-31,Cinema Movie Ticket,Entertainment,779.0,Expense
2024-11-19,Amazon Purchase,Shopping,3042.0,Expense
2024-08-12,Uber Ride,Transportation,462.0,Expense
2024-07-17,Uber Ride,Transportation,143.0,Expense
2024-11-02,Zara Clothing,Shopping,4589.0,Expense
2024-11-14,UberEats Delivery,Food,430.71,Expense
2025-06-29,Local Grocery Store,Food,3309.73,Expense
2024-07-31,Gas Station,Transportation,2875.0,Expense
2024-08-05,Fiber Internet Bill,Utilities,802.0,Expense
2024-07-27,Nike Shoes,Shopping,3891.0,Expense
2026-01-03,Car Service,Transportation,5494.0,Expense
2026-01-29,Cinema Movie Ticket,Entertainment,470.0,Expense
2025-02-18,UberEats Delivery,Food,678.89,Expense
2025-07-11,Concert Ticket,Entertainment,5100.0,Expense
2025-04-10,McDonald's Meal,Food,576.69,Expense
2025-10-03,Car Service,Transportation,5772.0,Expense
2025-08-21,McDonald's Meal,Food,360.38,Expense
2024-08-28,Electronics Store,Shopping,15726.0,Expense
2025-02-15,UberEats Delivery,Food,480.6,Expense
2024-11-16,Local Grocery Store,Food,2663.44,Expense
2025-07-12,Zara Clothing,Shopping,2041.0,Expense
2025-06-02,Cash withdrawal,,2000.0,Expense
2025-12-17,Health Checkup Package,Medical,4083.0,Expense
2024-08-07,Electronics Store,Shopping,10064.0,Expense
2026-02-07,Electricity Bill,Utilities,2089.0,Expense
2025-04-02,Starbucks Coffee,Food,463.81,Expense
2025-10-05,Amazon Purchase,Shopping,6837.0,Expense
2025-01-04,Pharmacy Medicines,Medical,1082.0,Expense
2025-11-27,Fine Dining,Food,5025.03,Expense
2026-01-07,Car Service,Transportation,7191.0,Expense
2025-09-10,Fine Dining,Food,1999.4,Expense
2024-08-11,Electronics Store,Shopping,16327.0,Expense
2025-08-07,Steam Game Purchase,Entertainment,2896.0,Expense
2025-09-01,Netflix Premium,Entertainment,649.0,Expense
2024-08-09,Starbucks Coffee,Food,347.76,Expense
2025-05-06,McDonald's Meal,Food,562.59,Expense
2026-02-27,Car Service,Transportation,6029.0,Expense
2026-02-10,UberEats Delivery,Food,650.2,Expense
2025-05-04,Uber Ride,Transportation,305.0,Expense
2024-12-31,UberEats Delivery,Food,553.04,Expense
2025-09-18,McDonald's Meal,Food,560.89,Expense
2024-11-29,Fine Dining,Food,3406.51,Expense
2025-03-23,Steam Game Purchase,Entertainment,1347.0,Expense
2024-11-01,Metro Card Topup,Transportation,432.0,Expense
2024-10-24,Local Grocery Store,Food,1365.52,Expense
2025-10-25,UberEats Delivery,Food,776.88,Expense
2025-12-10,Freelance Project,Income,10796.0,Income
2025-03-08,Electronics Store,Shopping,15376.0,Expense
2025-11-08,McDonald's Meal,Food,366.87,Expense
2026-02-21,Concert Ticket,Entertainment,3904.0,Expense
2024-11-22,Metro Card Topup,Transportation,398.0,Expense
2025-01-05,Fiber Internet Bill,Utilities,915.0,Expense
2025-11-15,Fine Dining,Food,4007.75,Expense
2026-02-20,Car Service,Transportation,4939.0,Expense
2025-03-31,Metro Card Topup,Transportation,271.0,Expense
2025-08-06,McDonald's Meal,Food,457.85,Expense
2025-10-22,McDonald's Meal,Food,509.57,Expense
2024-11-23,Spotify Premium,Entertainment,119.0,Expense
2024-11-17,McDonald's Meal,Food,380.57,Expense
2025-11-18,Uber Ride,Transportation,164.0,Expense
2024-07-27,Fine Dining,Food,4233.5,Expense
2025-12-01,Salary Credit,Income,60000.0,Income
2026-04-19,Amazon Purchase,Shopping,3700.0,Expense
2025-01-04,Local Grocery Store,Food,3351.0,Expense
2025-12-06,Concert Ticket,Entertainment,2153.0,Expense
2025-05-05,Metro Card Topup,Transportation,578.0,Expense
2025-06-09,Mobile Phone Bill,Utilities,488.0,Expense
2025-05-27,McDonald's Meal,Food,326.75,Expense
2026-01-20,Starbucks Coffee,Food,282.53,Expense
2026-06-09,UberEats Delivery,Food,1123.72,Expense
2024-11-21,Zara Clothing,Shopping,1520.0,Expense
2025-12-06,UberEats Delivery,Food,1224.86,Expense
2025-04-27,McDonald's Meal,Food,349.28,Expense
2024-08-07,Starbucks Coffee,Food,335.53,Expense
2025-03-18,Electronics Store,Shopping,24078.0,Expense
2025-11-19,Car Service,Transportation,5934.0,Expense
2025-02-17,Pharmacy Medicines,Medical,440.0,Expense
2026-06-19,Uber Ride,Transportation,225.0,Expense
2025-10-06,Gas Station,Transportation,2759.0,Expense
2026-02-08,Spotify Premium,Entertainment,119.0,Expense
2026-03-02,Gas Station,Transportation,2277.0,Expense
2024-07-19,Local Grocery Store,Food,3005.07,Expense
2025-11-16,Cinema Movie Ticket,Entertainment,597.0,Expense
2025-02-21,McDonald's Meal,Food,339.65,Expense
2024-10-06,UberEats Delivery,Food,423.27,Expense
2025-08-01,UberEats Delivery,Food,926.73,Expense
2026-04-22,McDonald's Meal,Food,585.98,Expense
2025-08-20,McDonald's Meal,Food,434.11,Expense
2025-05-28,Gas Station,Transportation,3498.0,Expense
2025-09-29,Uber Ride,Transportation,463.0,Expense
2026-04-14,Starbucks Coffee,Food,364.01,Expense
2025-05-25,Health Checkup Package,Medical,3325.0,Expense
2025-09-11,Uber Ride,Transportation,109.0,Expense
2025-06-05,Fiber Internet Bill,Utilities,819.0,Expense
2026-03-28,Gas Station,Transportation,2810.0,Expense
2026-04-07,Electricity Bill,Utilities,3120.0,Expense
2024-10-16,McDonald's Meal,Food,583.55,Expense
2026-06-20,Starbucks Coffee,Food,290.38,Expense
2026-02-01,Spotify Family Plan,Entertainment,179.0,Expense
2025-04-15,Metro Card Topup,Transportation,247.0,Expense
2024-10-02,Local Grocery Store,Food,3672.87,Expense
2024-10-20,Concert Ticket,Entertainment,2443.0,Expense
2025-01-17,Local Grocery Store,Food,2208.16,Expense
2025-12-07,Spotify Premium,Entertainment,119.0,Expense
2026-04-05,Zara Clothing,Shopping,2110.0,Expense
2025-05-13,Hotel Accommodation,Travel,11408.0,Expense
2025-03-12,Local Grocery Store,Food,3076.61,Expense
2024-11-14,Nike Shoes,Shopping,5358.0,Expense
2024-11-27,Concert Ticket,Entertainment,4770.0,Expense
2024-08-05,Local Grocery Store,Food,1747.48,Expense
2024-12-08,Amazon Purchase,Shopping,4321.2,Expense
2024-11-26,Amazon Purchase,Shopping,4658.0,Expense
2026-02-17,Uber Ride,Transportation,136.0,Expense
2025-08-07,Car Service,Transportation,3035.0,Expense
2025-08-31,Steam Game Purchase,Entertainment,984.0,Expense
2024-07-18,UberEats Delivery,Food,965.36,Expense
2025-09-30,Local Grocery Store,Food,3143.29,Expense
2026-03-05,Fine Dining,Food,5240.38,Expense
2025-01-09,Car Service,Transportation,5451.0,Expense
2026-03-24,Fine Dining,Food,2714.57,Expense
2025-06-11,Starbucks Coffee,Food,206.68,Expense
2025-05-14,Zara Clothing,Shopping,2270.0,Expense
2025-03-01,McDonald's Meal,Food,306.58,Expense
2026-06-29,Local Grocery Store,Food,2369.3,Expense
2024-12-05,Car Service,Transportation,3514.0,Expense
2025-11-10,Uber Ride,Transportation,177.0,Expense
2025-08-01,Salary Credit,Income,60000.0,Income
2026-01-17,UberEats Delivery,Food,1141.77,Expense
2026-01-01,Salary Credit,Income,65000.0,Income
2024-12-02,Starbucks Coffee,Food,373.46,Expense
2026-04-09,Fine Dining,Food,1854.63,Expense
2025-04-25,Uber Ride,Transportation,130.0,Expense
2025-09-14,Zara Clothing,Shopping,5160.0,Expense
2026-03-11,Starbucks Coffee,Food,451.92,Expense
2026-05-09,Fine Dining,Food,3743.11,Expense
2025-12-15,Metro Card Topup,Transportation,480.0,Expense
2025-04-26,UberEats Delivery,Food,1186.69,Expense
2025-05-02,Amazon Purchase,Shopping,2503.0,Expense
2026-02-21,Starbucks Coffee,Food,494.25,Expense
2025-12-16,Fine Dining,Food,4678.85,Expense
2025-02-21,McDonald's Meal,Food,339.65,Expense
2025-05-25,McDonald's Meal,Food,535.83,Expense
2025-05-10,Nike Shoes,Shopping,4302.0,Expense
2025-04-12,Starbucks Coffee,Food,406.49,Expense
2025-10-07,Electricity Bill,Utilities,3053.0,Expense
2025-11-30,Steam Game Purchase,Entertainment,1943.0,Expense
2025-01-07,Metro Card Topup,Transportation,485.0,Expense
2026-02-01,Netflix Premium,Entertainment,649.0,Expense
2024-12-20,Local Grocery Store,Food,2346.09,Expense
2024-08-03,Starbucks Coffee,Food,435.94,Expense
2025-05-12,Concert Ticket,Entertainment,2607.0,Expense
2025-06-24,Uber Ride,Transportation,227.0,Expense
2025-06-06,Local Grocery Store,Food,2183.59,Expense
2024-07-14,Fine Dining,Food,4587.22,Expense
2024-09-01,Salary Credit,Income,55000.0,Income
2026-06-07,Fine Dining,Food,1843.56,Expense
2025-07-11,Gas Station,Transportation,2996.0,Expense
2025-03-18,McDonald's Meal,Food,490.9,Expense
2025-06-01,Pharmacy Medicines,Medical,711.0,Expense
2024-12-11,Zara Clothing,Shopping,4605.900000000001,Expense
2026-01-15,Steam Game Purchase,Entertainment,1051.0,Expense
2026-03-03,Metro Card Topup,Transportation,471.0,Expense
2025-03-24,Nike Shoes,Shopping,5654.0,Expense
2025-11-15,Car Service,Transportation,5447.0,Expense
2025-09-15,Local Grocery Store,Food,2958.84,Expense
2025-07-19,McDonald's Meal,Food,414.22,Expense
2025-09-29,Cinema Movie Ticket,Entertainment,566.0,Expense
2025-01-01,Spotify Family Plan,Entertainment,179.0,Expense
2025-11-03,McDonald's Meal,Food,348.92,Expense
2025-11-01,Cinema Movie Ticket,Entertainment,779.0,Expense
2025-05-11,Fine Dining,Food,2071.56,Expense
2026-05-28,Car Service,Transportation,7281.0,Expense
2024-08-16,McDonald's Meal,Food,474.44,Expense
2026-05-30,UberEats Delivery,Food,783.25,Expense
2026-02-05,Fiber Internet Bill,Utilities,869.0,Expense
2026-01-29,Starbucks Coffee,Food,430.65,Expense
2024-10-22,Zara Clothing,Shopping,5603.0,Expense
2025-02-09,Zara Clothing,Shopping,2124.0,Expense
2024-09-01,Netflix Premium,Entertainment,649.0,Expense
2026-03-28,Electronics Store,Shopping,18501.0,Expense
2026-05-06,Concert Ticket,Entertainment,5418.0,Expense
2025-10-10,Starbucks Coffee,Food,451.45,Expense
2026-06-17,Gas Station,Transportation,1992.0,Expense
2026-06-13,Cinema Movie Ticket,Entertainment,633.0,Expense
2025-11-23,Local Grocery Store,Food,1611.9,Expense
2025-06-19,UberEats Delivery,Food,1056.45,Expense
2024-10-11,McDonald's Meal,Food,514.56,Expense
2024-11-13,UberEats Delivery,Food,595.06,Expense
2025-03-26,Spotify Premium,Entertainment,119.0,Expense
2025-10-26,Amazon Purchase,Shopping,3376.0,Expense
2025-07-03,Gas Station,Transportation,2905.0,Expense
2026-04-19,Starbucks Coffee,Food,279.21,Expense
2026-02-08,Gas Station,Transportation,2622.0,Expense
2025-12-11,Zara Clothing,Shopping,4140.5,Expense
2026-02-25,Starbucks Coffee,Food,336.11,Expense
2025-04-23,McDonald's Meal,Food,533.59,Expense
2026-03-22,Amazon Purchase,Shopping,2488.0,Expense
2025-05-15,Local Groceries,food,450.0,Expense
2025-11-08,Electronics Store,Shopping,12228.0,Expense
2025-09-07,Cinema Movie Ticket,Entertainment,760.0,Expense
2025-07-20,Cinema Movie Ticket,Entertainment,764.0,Expense
2024-11-10,Cinema Movie Ticket,Entertainment,645.0,Expense
2025-05-16,Starbucks Coffee,FOOD,150.0,Expense
2026-04-01,Spotify Family Plan,Entertainment,179.0,Expense
2025-07-31,Zara Clothing,Shopping,5709.0,Expense
2025-02-25,Electronics Store,Shopping,5388.0,Expense
2025-06-23,Local Grocery Store,Food,3515.24,Expense
2025-06-28,Uber Ride,Transportation,214.0,Expense
2026-04-01,Salary Credit,Income,65000.0,Income
2024-11-26,Gas Station,Transportation,1817.0,Expense
2025-01-18,UberEats Delivery,Food,788.27,Expense
2026-01-26,UberEats Delivery,Food,718.84,Expense
2024-08-01,Zara Clothing,Shopping,5344.0,Expense
2025-07-18,Fine Dining,Food,4713.02,Expense
2025-09-14,Gas Station,Transportation,2413.0,Expense
2025-05-28,Starbucks Coffee,Food,343.9,Expense
2026-05-16,Nike Shoes,Shopping,4276.0,Expense
2025-03-21,Uber Ride,Transportation,232.0,Expense
2025-12-29,Zara Clothing,Shopping,1903.2,Expense
2025-09-06,Uber Ride,Transportation,484.0,Expense
2025-08-01,Electronics Store,Shopping,6174.0,Expense
2024-08-18,Zara Clothing,Shopping,4345.0,Expense
2026-03-25,Freelance Project,Income,8268.0,Income
2024-09-09,McDonald's Meal,Food,411.84,Expense
2026-06-06,Starbucks Coffee,Food,400.7,Expense
2024-12-16,Starbucks Coffee,Food,194.49,Expense
2025-02-24,Steam Game Purchase,Entertainment,2028.0,Expense
2024-12-12,Starbucks Coffee,Food,349.39,Expense
2025-01-25,Uber Ride,Transportation,271.0,Expense
2026-01-08,Local Grocery Store,Food,3917.69,Expense
2024-11-11,Amazon Purchase,Shopping,3327.0,Expense
2025-08-20,Spotify Premium,Entertainment,119.0,Expense
2026-04-30,Amazon Purchase,Shopping,3023.0,Expense
2025-01-12,McDonald's Meal,Food,538.76,Expense
2025-05-11,Gas Station,Transportation,2420.0,Expense
2024-09-14,Electronics Store,Shopping,16164.0,Expense
2026-01-24,Amazon Purchase,Shopping,3278.0,Expense
2025-05-01,Salary Credit,Income,60000.0,Income
2025-05-25,Amazon Purchase,Shopping,1239.0,Expense
2025-06-09,UberEats Delivery,Food,963.43,Expense
2024-11-02,Steam Game Purchase,Entertainment,2133.0,Expense
2024-09-01,Spotify Premium,Entertainment,119.0,Expense
2025-04-16,UberEats Delivery,Food,1101.76,Expense
2026-06-25,Metro Card Topup,Transportation,558.0,Expense
2024-10-10,Fine Dining,Food,3253.14,Expense
2025-02-19,UberEats Delivery,Food,991.29,Expense
2025-05-03,Electronics Store,Shopping,15483.0,Expense
2026-04-13,Starbucks Coffee,Food,341.26,Expense
2025-10-28,Starbucks Coffee,Food,379.31,Expense
2025-11-11,Starbucks Coffee,Food,296.53,Expense
2026-03-13,UberEats Delivery,Food,472.38,Expense
2024-07-18,Car Service,Transportation,4735.0,Expense
2024-10-31,Starbucks Coffee,Food,411.05,Expense
2026-06-28,Steam Game Purchase,Entertainment,1546.0,Expense
2026-03-15,Airbnb Booking,Travel,19401.0,Expense
2025-07-16,Cinema Movie Ticket,Entertainment,513.0,Expense
2025-09-13,McDonald's Meal,Food,600.7,Expense
2025-10-01,Salary Credit,Income,60000.0,Income
2024-10-17,Metro Card Topup,Transportation,471.0,Expense
2026-01-31,Cinema Movie Ticket,Entertainment,405.0,Expense
2025-01-21,Electronics Store,Shopping,15823.0,Expense
2025-01-01,Local Grocery Store,Food,2877.84,Expense
2025-02-10,Starbucks Coffee,Food,287.66,Expense
2026-02-12,Car Service,Transportation,4602.0,Expense
2024-07-31,Local Grocery Store,Food,2190.42,Expense
2024-10-05,Fiber Internet Bill,Utilities,906.0,Expense
2024-12-09,Gas Station,Transportation,3200.0,Expense
2026-05-12,Local Grocery Store,Food,2843.62,Expense
2025-03-07,Car Service,Transportation,3702.0,Expense
2026-02-01,Nike Shoes,Shopping,5511.0,Expense
2025-07-15,Metro Card Topup,Transportation,564.0,Expense
2026-04-30,Spotify Premium,Entertainment,119.0,Expense
2025-10-01,Spotify Family Plan,Entertainment,179.0,Expense
2025-12-13,Nike Shoes,Shopping,4729.400000000001,Expense
2024-07-27,Fine Dining,Food,4233.5,Expense
2026-03-10,McDonald's Meal,Food,323.39,Expense
2025-12-08,Gas Station,Transportation,2169.0,Expense
2025-10-05,UberEats Delivery,Food,1125.38,Expense
2025-07-20,Zara Clothing,Shopping,1222.0,Expense
2026-02-05,McDonald's Meal,Food,361.76,Expense
2024-12-20,Local Grocery Store,Food,2346.09,Expense
2025-12-20,Nike Shoes,Shopping,8222.5,Expense
2025-08-07,Electricity Bill,Utilities,2709.0,Expense
2025-04-06,Fine Dining,Food,4325.53,Expense
2026-03-08,Starbucks Coffee,Food,218.52,Expense
2025-07-27,Steam Game Purchase,Entertainment,2305.0,Expense
2024-11-15,Cinema Movie Ticket,Entertainment,424.0,Expense
2025-02-07,Fine Dining,Food,2136.82,Expense
2025-02-23,Fine Dining,Food,4329.03,Expense
2025-11-04,Fine Dining,Food,2878.83,Expense
2026-02-16,McDonald's Meal,Food,388.3,Expense
2026-06-05,Fine Dining,Food,4880.82,Expense
2025-03-02,Car Service,Transportation,5220.0,Expense
2026-05-10,Cinema Movie Ticket,Entertainment,439.0,Expense
2025-11-05,Fine Dining,Food,3047.83,Expense
2024-08-01,Netflix Premium,Entertainment,649.0,Expense
2026-01-17,Nike Shoes,Shopping,6797.0,Expense
2024-12-14,McDonald's Meal,Food,547.04,Expense
2025-09-12,McDonald's Meal,Food,292.12,Expense
2024-09-07,Electricity Bill,Utilities,2985.0,Expense
2025-10-21,Local Grocery Store,Food,2158.69,Expense
2024-12-30,UberEats Delivery,Food,855.85,Expense
2025-05-11,Electronics Store,Shopping,8956.0,Expense
2026-06-04,Metro Card Topup,Transportation,561.0,Expense
2026-06-17,Fine Dining,Food,2662.47,Expense
2024-12-05,Starbucks Coffee,Food,179.61,Expense
2025-02-14,UberEats Delivery,Food,856.32,Expense
2025-12-05,Fiber Internet Bill,Utilities,883.0,Expense
2025-05-26,Gas Station,Transportation,3381.0,Expense
2024-12-01,Spotify Family Plan,Entertainment,179.0,Expense
2026-06-12,Starbucks Coffee,Food,346.12,Expense
2026-04-25,Fine Dining,Food,3031.47,Expense
2024-09-11,McDonald's Meal,Food,365.33,Expense
2025-11-13,UberEats Delivery,Food,454.33,Expense
2025-03-25,Fine Dining,Food,2273.23,Expense
2026-01-26,Metro Card Topup,Transportation,310.0,Expense
2025-01-10,Uber Ride,Transportation,313.0,Expense
2024-10-07,Starbucks Coffee,Food,324.4,Expense
2025-12-03,Local Grocery Store,Food,2333.24,Expense
2024-12-28,Starbucks Coffee,Food,198.06,Expense
2025-02-05,Fiber Internet Bill,Utilities,970.0,Expense
2024-10-29,Uber Ride,Transportation,331.0,Expense
2026-03-10,Uber Ride,Transportation,295.0,Expense
2024-09-23,Local Grocery Store,Food,3735.38,Expense
2026-05-18,Gas Station,Transportation,1766.0,Expense
2025-12-25,Nike Shoes,Shopping,8369.4,Expense
2025-01-20,Local Grocery Store,Food,3293.89,Expense
2025-02-08,McDonald's Meal,Food,262.45,Expense
2024-10-25,Local Grocery Store,Food,1482.51,Expense
2026-04-05,Fiber Internet Bill,Utilities,813.0,Expense
2025-06-30,Local Grocery Store,Food,3760.71,Expense
2025-12-02,Amazon Purchase,Shopping,3679.0,Expense
2025-09-26,Uber Ride,Transportation,147.0,Expense
2024-07-04,Starbucks Coffee,Food,197.12,Expense
2024-09-27,Steam Game Purchase,Entertainment,2192.0,Expense
2025-03-07,UberEats Delivery,Food,885.08,Expense
2024-12-05,Fiber Internet Bill,Utilities,831.0,Expense
2024-12-05,Electronics Store,Shopping,31918.9,Expense
2025-04-19,Concert Ticket,Entertainment,4959.0,Expense
2024-12-02,Spotify Premium,Entertainment,119.0,Expense
2025-04-13,Nike Shoes,Shopping,6392.0,Expense
2025-11-17,Car Service,Transportation,3748.0,Expense
2026-03-31,McDonald's Meal,Food,678.66,Expense
2025-03-15,UberEats Delivery,Food,1041.23,Expense
2025-04-01,UberEats Delivery,Food,1029.89,Expense
2024-12-25,UberEats Delivery,Food,1135.86,Expense
2026-02-14,Local Grocery Store,Food,1632.29,Expense
2025-11-15,Amazon Purchase,Shopping,7575.0,Expense
2026-04-06,Gas Station,Transportation,2683.0,Expense
2026-02-12,UberEats Delivery,Food,1058.64,Expense
2024-09-20,McDonald's Meal,Food,391.41,Expense
2025-12-13,UberEats Delivery,Food,1151.04,Expense
2025-10-15,McDonald's Meal,Food,553.87,Expense
2026-03-24,Gas Station,Transportation,2372.0,Expense
2025-05-08,UberEats Delivery,Food,490.46,Expense
2025-12-31,McDonald's Meal,Food,520.7,Expense
2025-06-28,McDonald's Meal,Food,624.22,Expense
2025-05-10,Nike Shoes,Shopping,4302.0,Expense
2024-10-01,Netflix Premium,Entertainment,649.0,Expense
2026-04-02,McDonald's Meal,Food,539.73,Expense
2026-06-10,Gas Station,Transportation,2188.0,Expense
2025-11-14,Starbucks Coffee,Food,458.83,Expense
2025-06-03,Electronics Store,Shopping,23941.0,Expense
2024-08-12,Uber Ride,Transportation,462.0,Expense
2025-02-22,Local Grocery Store,Food,2363.3,Expense
2025-03-21,Local Grocery Store,Food,3123.12,Expense
2026-01-07,Electricity Bill,Utilities,2875.0,Expense
2025-07-04,Spotify Premium,Entertainment,119.0,Expense
2025-11-16,Electronics Store,Shopping,12965.0,Expense
2025-12-18,UberEats Delivery,Food,1021.14,Expense
2025-09-28,McDonald's Meal,Food,542.27,Expense
2024-08-25,Local Grocery Store,Food,2450.38,Expense
2025-05-18,Zara Shopping,  Shopping  ,3400.0,Expense
2026-04-26,Local Grocery Store,Food,4037.77,Expense
2025-08-10,McDonald's Meal,Food,346.63,Expense
2025-04-17,UberEats Delivery,Food,433.37,Expense
2024-10-07,Electricity Bill,Utilities,2788.0,Expense
2025-04-23,Gas Station,Transportation,2523.0,Expense
2025-05-02,Concert Ticket,Entertainment,3568.0,Expense
2025-02-16,Starbucks Coffee,Food,397.96,Expense
2025-08-13,Fine Dining,Food,4158.68,Expense
2025-01-29,Metro Card Topup,Transportation,554.0,Expense
2025-08-30,Electronics Store,Shopping,15869.0,Expense
2025-08-31,McDonald's Meal,Food,415.44,Expense
2026-04-01,UberEats Delivery,Food,743.26,Expense
2025-05-01,UberEats Delivery,Food,980.66,Expense
2025-12-09,Mobile Phone Bill,Utilities,505.0,Expense
2026-05-01,Netflix Premium,Entertainment,649.0,Expense
2024-12-10,Uber Ride,Transportation,202.0,Expense
2025-12-09,UberEats Delivery,Food,1296.46,Expense
2025-04-30,Amazon Purchase,Shopping,3244.0,Expense
2026-03-03,Concert Ticket,Entertainment,5916.0,Expense
2025-11-20,Fine Dining,Food,4808.7,Expense
2025-07-14,Pharmacy Medicines,Medical,468.0,Expense
2025-12-28,Uber Ride,Transportation,283.0,Expense
2025-01-03,Electronics Store,Shopping,21562.0,Expense
2024-09-10,UberEats Delivery,Food,686.88,Expense
2024-10-12,Nike Shoes,Shopping,5406.0,Expense
2024-12-01,Local Grocery Store,Food,3135.57,Expense
2026-06-14,Car Service,Transportation,5058.0,Expense
2026-03-06,Uber Ride,Transportation,368.0,Expense
2024-12-04,Starbucks Coffee,Food,164.1,Expense
2026-06-20,Gas Station,Transportation,1559.0,Expense
2026-04-17,Concert Ticket,Entertainment,3853.0,Expense
2025-12-11,UberEats Delivery,Food,891.23,Expense
2025-02-16,Cinema Movie Ticket,Entertainment,747.0,Expense
2026-03-28,UberEats Delivery,Food,1252.57,Expense
2024-11-12,Zara Clothing,Shopping,2324.0,Expense
2024-08-19,Car Service,Transportation,3411.0,Expense
2025-09-15,Gas Station,Transportation,2560.0,Expense
2025-11-01,Netflix Premium,Entertainment,649.0,Expense
2026-03-04,Uber Ride,Transportation,230.0,Expense
2025-05-08,Nike Shoes,Shopping,3381.0,Expense
2026-06-18,Starbucks Coffee,Food,291.42,Expense
2026-06-21,Starbucks Coffee,Food,204.33,Expense
2025-11-17,Local Grocery Store,Food,1728.18,Expense
2026-04-07,McDonald's Meal,Food,625.16,Expense
2025-08-24,Local Grocery Store,Food,2907.48,Expense
2024-12-02,Metro Card Topup,Transportation,320.0,Expense
2024-12-01,Netflix Premium,Entertainment,649.0,Expense
2025-08-01,Netflix Premium,Entertainment,649.0,Expense
2026-06-04,UberEats Delivery,Food,498.98,Expense
2025-04-11,UberEats Delivery,Food,981.1,Expense
2025-09-02,UberEats Delivery,Food,1170.63,Expense
2024-11-24,McDonald's Meal,Food,570.62,Expense
2024-12-23,McDonald's Meal,Food,332.54,Expense
2025-01-09,Mobile Phone Bill,Utilities,436.0,Expense
2025-03-07,Electricity Bill,Utilities,2774.0,Expense
2024-08-03,Uber Ride,Transportation,168.0,Expense
2025-02-03,Car Service,Transportation,6742.0,Expense
2025-12-07,Car Service,Transportation,6412.0,Expense
2026-06-01,Spotify Family Plan,Entertainment,179.0,Expense
2025-09-20,Starbucks Coffee,Food,291.47,Expense
2025-11-24,Local Grocery Store,Food,3180.19,Expense
2025-10-25,Zara Clothing,Shopping,1691.0,Expense
2025-11-18,Local Grocery Store,Food,4238.47,Expense
2025-09-09,UberEats Delivery,Food,744.05,Expense
2025-11-13,Gas Station,Transportation,2288.0,Expense
2025-12-27,Gas Station,Transportation,1718.0,Expense
2024-12-26,McDonald's Meal,Food,419.81,Expense
2025-02-22,Electronics Store,Shopping,20100.0,Expense
2025-06-21,Electronics Store,Shopping,24823.0,Expense
2026-05-28,Spotify Premium,Entertainment,119.0,Expense
2025-05-17,Amazon Purchase,shopping,1200.0,Expense
2025-06-02,Steam Game Purchase,Entertainment,2218.0,Expense
2025-08-15,Amazon Purchase,Shopping,6157.0,Expense
2026-03-07,Starbucks Coffee,Food,201.58,Expense
2025-12-27,Amazon Purchase,Shopping,8768.5,Expense
